[2025-04-10 13:40:23,198] - [MQTT][INFO] - Received State vector from 3
[2025-04-10 13:40:23,202] - [MQTT][INFO] - Published
[2025-04-10 13:40:27,464] - [MQTT][INFO][gRPC MQTT] - Received data payload
[2025-04-10 13:40:27,466] - [MQTT][INFO] - Received State vector from 1
[2025-04-10 13:40:27,489] - [MQTT][INFO]Created Mission→Vehicle relation for 1 → 1
[2025-04-10 13:40:27,492] - [MQTT][INFO] - Published
[2025-04-10 13:40:29,712] - [MQTT][INFO][gRPC MQTT] - Received data payload
[2025-04-10 13:40:29,714] - [MQTT][INFO] - Received State vector from 2
[2025-04-10 13:40:29,738] - [MQTT][INFO]Created Mission→Vehicle relation for 1 → 2
[2025-04-10 13:40:29,740] - [MQTT][INFO] - Published
[2025-04-10 13:40:33,015] - [MQTT][INFO][gRPC MQTT] - Received data payload
[2025-04-10 13:40:33,017] - [MQTT][INFO] - Received State vector from 3
[2025-04-10 13:40:33,020] - [MQTT][INFO] - Published
[2025-04-10 13:40:37,462] - [MQTT][INFO][gRPC MQTT] - Received data payload
[2025-04-10 13:40:37,464] - [MQTT][INFO] - Received State vector from 1
[2025-04-10 13:40:37,488] - [MQTT][INFO]Created Mission→Vehicle relation for 1 → 1
[2025-04-10 13:40:37,490] - [MQTT][INFO] - Published
[2025-04-10 13:40:39,711] - [MQTT][INFO][gRPC MQTT] - Received data payload
[2025-04-10 13:40:39,713] - [MQTT][INFO] - Received State vector from 2
[2025-04-10 13:40:39,737] - [MQTT][INFO]Created Mission→Vehicle relation for 1 → 2
[2025-04-10 13:40:39,739] - [MQTT][INFO] - Published
[2025-04-10 13:40:43,044] - [MQTT][INFO][gRPC MQTT] - Received data payload
[2025-04-10 13:40:43,046] - [MQTT][INFO] - Received State vector from 3
[2025-04-10 13:40:43,049] - [MQTT][INFO] - Published
[2025-04-10 13:40:47,491] - [MQTT][INFO][gRPC MQTT] - Received data payload
[2025-04-10 13:40:47,493] - [MQTT][INFO] - Received State vector from 1
[2025-04-10 13:40:47,517] - [MQTT][INFO]Created Mission→Vehicle relation for 1 → 1
[2025-04-10 13:40:47,518] - [MQTT][INFO] - Published
[2025-04-10 13:40:49,740] - [MQTT][INFO][gRPC MQTT] - Received data payload
[2025-04-10 13:40:49,742] - [MQTT][INFO] - Received State vector from 2
[2025-04-10 13:40:49,767] - [MQTT][INFO]Created Mission→Vehicle relation for 1 → 2
[2025-04-10 13:40:49,769] - [MQTT][INFO] - Published
[2025-04-10 13:40:53,063] - [MQTT][INFO][gRPC MQTT] - Received data payload
[2025-04-10 13:40:53,065] - [MQTT][INFO] - Received State vector from 3
[2025-04-10 13:40:53,070] - [MQTT][INFO] - Published
[2025-04-10 13:40:57,511] - [MQTT][INFO][gRPC MQTT] - Received data payload
[2025-04-10 13:40:57,513] - [MQTT][INFO] - Received State vector from 1
[2025-04-10 13:40:57,534] - [MQTT][INFO]Created Mission→Vehicle relation for 1 → 1
[2025-04-10 13:40:57,536] - [MQTT][INFO] - Published
[2025-04-10 13:40:59,799] - [MQTT][INFO][gRPC MQTT] - Received data payload
[2025-04-10 13:40:59,801] - [MQTT][INFO] - Received State vector from 2
[2025-04-10 13:40:59,824] - [MQTT][INFO]Created Mission→Vehicle relation for 1 → 2
[2025-04-10 13:40:59,826] - [MQTT][INFO] - Published
[2025-04-10 13:41:03,044] - [MQTT][INFO][gRPC MQTT] - Received data payload
[2025-04-10 13:41:03,046] - [MQTT][INFO] - Received State vector from 3
[2025-04-10 13:41:03,049] - [MQTT][INFO] - Published
[2025-04-10 13:44:45,822] - [MQTT][INFO][gRPC MQTT] - Server thread initialized
[2025-04-10 13:44:45,824] - [MQTT][INFO][gRPC MQTT] - Server started on [::]:50057
[2025-04-10 13:44:50,802] - [MQTT][INFO][gRPC MQTT] - Received data payload
[2025-04-10 13:44:51,549] - [MQTT][INFO] - Published
[2025-04-10 13:44:51,731] - [MQTT][INFO][gRPC MQTT] - Received data payload
[2025-04-10 13:44:52,302] - [MQTT][INFO] - Published
[2025-04-10 13:44:53,042] - [MQTT][INFO] - Published
[2025-04-10 13:44:53,777] - [MQTT][INFO] - Published
[2025-04-10 13:44:54,510] - [MQTT][INFO] - Published
[2025-04-10 13:44:54,512] - [MQTT][INFO] - Sent mission data 1 to ThingsBoard
[2025-04-10 13:44:54,513] - [MQTT][INFO] - Received State vector from 1
[2025-04-10 13:44:55,245] - [MQTT][INFO]Created Mission→Vehicle relation for 1 → 1
[2025-04-10 13:44:55,247] - [MQTT][INFO] - Published
[2025-04-10 13:48:54,762] - [MQTT][INFO][gRPC MQTT] - Server thread initialized
[2025-04-10 13:48:54,767] - [MQTT][INFO][gRPC MQTT] - Server started on [::]:50057
[2025-04-10 13:49:04,209] - [MQTT][INFO][gRPC MQTT] - Received data payload
[2025-04-10 13:49:04,935] - [MQTT][INFO] - Published
[2025-04-10 13:49:05,678] - [MQTT][INFO] - Published
[2025-04-10 13:49:06,410] - [MQTT][INFO] - Published
[2025-04-10 13:49:07,155] - [MQTT][INFO] - Published
[2025-04-10 13:49:07,886] - [MQTT][INFO] - Published
[2025-04-10 13:49:07,888] - [MQTT][INFO] - Sent mission data 1 to ThingsBoard
[2025-04-10 13:49:13,275] - [MQTT][INFO][gRPC MQTT] - Received data payload
[2025-04-10 13:49:13,276] - [MQTT][INFO] - Received State vector from 1
[2025-04-10 13:49:14,010] - [MQTT][INFO]Created Mission→Vehicle relation for 1 → 1
[2025-04-10 13:49:14,013] - [MQTT][INFO] - Published
[2025-04-10 13:49:23,375] - [MQTT][INFO][gRPC MQTT] - Received data payload
[2025-04-10 13:49:23,377] - [MQTT][INFO] - Received State vector from 1
[2025-04-10 13:49:23,400] - [MQTT][INFO]Created Mission→Vehicle relation for 1 → 1
[2025-04-10 13:49:23,402] - [MQTT][INFO] - Published
[2025-04-10 13:49:24,335] - [MQTT][INFO][gRPC MQTT] - Received data payload
[2025-04-10 13:49:25,133] - [MQTT][INFO]Created Mission→Feedback relation for 1
[2025-04-10 13:49:25,135] - [MQTT][INFO] - Published
[2025-04-10 13:49:25,137] - [MQTT][INFO]Created feedback device Feedback 1.1
[2025-04-10 13:49:25,139] - [MQTT][INFO] - Published
[2025-04-10 13:49:25,142] - [MQTT][INFO] - Published
[2025-04-10 13:49:25,144] - [MQTT][INFO] - Published
[2025-04-10 13:49:25,148] - [MQTT][INFO] - Published
[2025-04-10 13:49:25,150] - [MQTT][INFO] - Sent mission data 1 to ThingsBoard
[2025-04-10 13:49:33,499] - [MQTT][INFO][gRPC MQTT] - Received data payload
[2025-04-10 13:49:33,501] - [MQTT][INFO] - Received State vector from 1
[2025-04-10 13:49:33,523] - [MQTT][INFO]Created Mission→Vehicle relation for 1 → 1
[2025-04-10 13:49:33,525] - [MQTT][INFO] - Published
