[2025-04-09 17:46:26,333] - [REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-04-09 17:46:26,333] - [REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-04-09 17:46:28,192] - [REST][INFO][REST Server] - Received Mission
[2025-04-09 17:46:28,192] - [REST][INFO][REST Server] - Received Mission
[2025-04-09 17:46:28,192] - [REST][INFO][REST Server] - Received Mission
[2025-04-09 17:46:28,192] - [REST][INFO][REST Server] - Received Mission
[2025-04-09 17:46:28,192] - [REST][INFO][REST Server] - Received Mission
[2025-04-09 17:46:28,192] - [REST][INFO][REST Server] - Received Mission
[2025-04-09 17:46:28,195] - [REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-04-09 17:46:28,195] - [REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-04-09 17:46:28,195] - [REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-04-09 17:46:28,195] - [REST][INFO][gRPC REST] - Sending mission to Fleet Management
