[2025-07-30 11:05:45,552][REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-07-30 11:05:45,552][REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-07-30 14:40:21,451][REST][INFO][gRPC REST] - Server running on port [::]:50052
[2025-07-30 14:40:21,889][REST][INFO][REST Server] - Received Mission
[2025-07-30 14:40:21,889][REST][INFO][REST Server] - Received Mission
[2025-07-30 14:40:21,892][REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-07-30 14:40:21,892][REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-07-30 14:40:21,903][REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-07-30 14:40:21,903][REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-07-30 14:44:02,254][REST][INFO][REST Server] - Received Mission
[2025-07-30 14:44:02,254][REST][INFO][REST Server] - Received Mission
[2025-07-30 14:44:02,254][REST][INFO][REST Server] - Received Mission
[2025-07-30 14:44:02,259][REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-07-30 14:44:02,259][REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-07-30 14:44:02,259][REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-07-30 14:44:02,267][REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-07-30 14:44:02,267][REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-07-30 14:44:02,267][REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-07-30 14:49:33,062][REST][INFO][gRPC REST] - Mission status received from Fleet Management
[2025-07-30 14:49:33,062][REST][INFO][gRPC REST] - Mission status received from Fleet Management
[2025-07-30 14:49:33,062][REST][INFO][gRPC REST] - Mission status received from Fleet Management
[2025-07-30 14:50:54,551][REST][INFO][gRPC REST] - Server running on port [::]:50052
[2025-07-30 14:50:57,921][REST][INFO][REST Server] - Received Mission
[2025-07-30 14:50:57,921][REST][INFO][REST Server] - Received Mission
[2025-07-30 14:50:57,923][REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-07-30 14:50:57,923][REST][INFO][gRPC REST] - Sending mission to Fleet Management
[2025-07-30 14:50:57,933][REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-07-30 14:50:57,933][REST][INFO][gRPC REST] - ACK received from Fleet Management
[2025-07-30 14:53:14,326][REST][INFO][REST Server] - Received Mission
[2025-07-30 14:53:14,326][REST][INFO][REST Server] - Received Mission
[2025-07-30 14:53:14,326][REST][INFO][REST Server] - Received Mission
[2025-07-30 14:53:14,330][REST][INFO][gRPC REST] - Sending mission to Fleet Management
