[2026-03-12 12:41:22,256][Drone 3][INFO][ROS2][gRPC Metrics] - Metrics received from drone and forwarded to ROS2 publisher
[2026-03-12 12:41:22,452][Drone 3][INFO][ROS2][System Metrics Publisher] - System Metrics published
[2026-03-12 12:41:22,474][Drone 3][INFO][State Vector] - State Vector sent
[2026-03-12 12:41:32,390][Drone 3][INFO][ROS2][gRPC Metrics] - Metrics received from drone and forwarded to ROS2 publisher
[2026-03-12 12:41:32,451][Drone 3][INFO][ROS2][System Metrics Publisher] - System Metrics published
[2026-03-12 12:41:32,474][Drone 3][INFO][State Vector] - State Vector sent
[2026-03-12 12:41:42,439][Drone 3][INFO][ROS2][gRPC Metrics] - Metrics received from drone and forwarded to ROS2 publisher
[2026-03-12 12:41:42,453][Drone 3][INFO][ROS2][System Metrics Publisher] - System Metrics published
[2026-03-12 12:41:42,474][Drone 3][INFO][State Vector] - State Vector sent
[2026-03-12 12:41:52,474][Drone 3][INFO][State Vector] - State Vector sent
[2026-03-12 12:41:52,476][Drone 3][INFO][ROS2][gRPC Metrics] - Metrics received from drone and forwarded to ROS2 publisher
[2026-03-12 12:41:53,451][Drone 3][INFO][ROS2][System Metrics Publisher] - System Metrics published
[2026-03-12 12:42:02,473][Drone 3][INFO][State Vector] - State Vector sent
[2026-03-12 12:42:02,513][Drone 3][INFO][ROS2][gRPC Metrics] - Metrics received from drone and forwarded to ROS2 publisher
[2026-03-12 12:42:03,453][Drone 3][INFO][ROS2][System Metrics Publisher] - System Metrics published
[2026-03-12 12:42:12,473][Drone 3][INFO][State Vector] - State Vector sent
[2026-03-12 12:42:12,547][Drone 3][INFO][ROS2][gRPC Metrics] - Metrics received from drone and forwarded to ROS2 publisher
[2026-03-12 12:42:13,451][Drone 3][INFO][ROS2][System Metrics Publisher] - System Metrics published
[2026-03-12 12:42:22,473][Drone 3][INFO][State Vector] - State Vector sent
[2026-03-12 12:42:22,583][Drone 3][INFO][ROS2][gRPC Metrics] - Metrics received from drone and forwarded to ROS2 publisher
[2026-03-12 12:42:23,451][Drone 3][INFO][ROS2][System Metrics Publisher] - System Metrics published
[2026-03-12 12:42:32,473][Drone 3][INFO][State Vector] - State Vector sent
[2026-03-12 12:42:32,616][Drone 3][INFO][ROS2][gRPC Metrics] - Metrics received from drone and forwarded to ROS2 publisher
[2026-03-12 12:42:33,452][Drone 3][INFO][ROS2][System Metrics Publisher] - System Metrics published
[2026-03-12 12:42:42,473][Drone 3][INFO][State Vector] - State Vector sent
[2026-03-12 12:42:42,661][Drone 3][INFO][ROS2][gRPC Metrics] - Metrics received from drone and forwarded to ROS2 publisher
[2026-03-12 12:42:43,452][Drone 3][INFO][ROS2][System Metrics Publisher] - System Metrics published
[2026-03-12 12:42:52,473][Drone 3][INFO][State Vector] - State Vector sent
[2026-03-12 12:42:52,694][Drone 3][INFO][ROS2][gRPC Metrics] - Metrics received from drone and forwarded to ROS2 publisher
[2026-03-12 12:42:53,452][Drone 3][INFO][ROS2][System Metrics Publisher] - System Metrics published
[2026-03-12 12:43:02,473][Drone 3][INFO][State Vector] - State Vector sent
[2026-03-12 12:43:02,730][Drone 3][INFO][ROS2][gRPC Metrics] - Metrics received from drone and forwarded to ROS2 publisher
[2026-03-12 12:43:03,452][Drone 3][INFO][ROS2][System Metrics Publisher] - System Metrics published
[2026-03-12 12:43:12,474][Drone 3][INFO][State Vector] - State Vector sent
[2026-03-12 12:43:12,764][Drone 3][INFO][ROS2][gRPC Metrics] - Metrics received from drone and forwarded to ROS2 publisher
[2026-03-12 12:43:13,452][Drone 3][INFO][ROS2][System Metrics Publisher] - System Metrics published
[2026-03-12 12:43:22,473][Drone 3][INFO][State Vector] - State Vector sent
[2026-03-12 12:43:22,797][Drone 3][INFO][ROS2][gRPC Metrics] - Metrics received from drone and forwarded to ROS2 publisher
[2026-03-12 12:43:23,452][Drone 3][INFO][ROS2][System Metrics Publisher] - System Metrics published
[2026-03-12 12:43:32,473][Drone 3][INFO][State Vector] - State Vector sent
[2026-03-12 12:43:32,830][Drone 3][INFO][ROS2][gRPC Metrics] - Metrics received from drone and forwarded to ROS2 publisher
[2026-03-12 12:43:33,452][Drone 3][INFO][ROS2][System Metrics Publisher] - System Metrics published
[2026-03-12 12:43:42,473][Drone 3][INFO][State Vector] - State Vector sent
[2026-03-12 12:43:42,867][Drone 3][INFO][ROS2][gRPC Metrics] - Metrics received from drone and forwarded to ROS2 publisher
[2026-03-12 12:43:43,452][Drone 3][INFO][ROS2][System Metrics Publisher] - System Metrics published
[2026-03-12 12:43:52,473][Drone 3][INFO][State Vector] - State Vector sent
[2026-03-12 12:43:52,900][Drone 3][INFO][ROS2][gRPC Metrics] - Metrics received from drone and forwarded to ROS2 publisher
[2026-03-12 12:43:53,452][Drone 3][INFO][ROS2][System Metrics Publisher] - System Metrics published
[2026-03-12 12:44:02,473][Drone 3][INFO][State Vector] - State Vector sent
[2026-03-12 12:44:03,036][Drone 3][INFO][ROS2][gRPC Metrics] - Metrics received from drone and forwarded to ROS2 publisher
[2026-03-12 12:44:03,452][Drone 3][INFO][ROS2][System Metrics Publisher] - System Metrics published
[2026-03-12 12:44:12,473][Drone 3][INFO][State Vector] - State Vector sent
[2026-03-12 12:44:13,072][Drone 3][INFO][ROS2][gRPC Metrics] - Metrics received from drone and forwarded to ROS2 publisher
[2026-03-12 12:44:13,452][Drone 3][INFO][ROS2][System Metrics Publisher] - System Metrics published
[2026-03-12 12:44:22,473][Drone 3][INFO][State Vector] - State Vector sent
[2026-03-12 12:44:23,105][Drone 3][INFO][ROS2][gRPC Metrics] - Metrics received from drone and forwarded to ROS2 publisher
[2026-03-12 12:44:23,452][Drone 3][INFO][ROS2][System Metrics Publisher] - System Metrics published
[2026-03-12 12:44:32,473][Drone 3][INFO][State Vector] - State Vector sent
[2026-03-12 12:44:33,138][Drone 3][INFO][ROS2][gRPC Metrics] - Metrics received from drone and forwarded to ROS2 publisher
[2026-03-12 12:44:33,452][Drone 3][INFO][ROS2][System Metrics Publisher] - System Metrics published
